,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nc0228,Quand ch'i passi oltre Mieli,,10 agosto 1966,Canto popolare carnico - Noiaretto,Canto popolare carnico - Noiaretto,Noiaretto,134.39.00,158.31.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/15ttA1LWJHnJ6vONz4QffYiL1Swf7ZnPN/view?usp=drive_link,,,,
nc0229,Chel gri-gri sun che busute,,10 agosto 1966,Canto popolare carnico - Noiaretto,Canto popolare carnico - Noiaretto,Noiaretto,134.39.00,158.31.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1LLD-p3398HHoEhDRKfbMmveGMNTFeaL3/view?usp=drive_link,,,,
nc0230,E le stat la me rovine de la me gioventut,,,Canto popolare carnico ,Canto popolare carnico ,,,,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1gTXynTOTrwTeChCnsl6V6fBcbhW2jdQ8/view?usp=drive_link,,,,
nc0231,O bella mia speranza,Don Luciano Devora,,Canto popolare carnico - Ravascletto,Canto popolare carnico - Ravascletto,Ravascletto,133.19.00,165.51.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Zd-smFAPmxIOTkQUURmKkrwrA3Tj1Jhd/view?usp=drive_link,,,,
nc0232,No no in che culine,Maria Casanova in Barbacetto,14 agosto 66,Canto popolare carnico - Ravascletto,Canto popolare carnico - Ravascletto,Ravascletto,133.19.00,165.51.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1-GrAmUnGLQByO-VMGodfJ6BjWfKIMmjA/view?usp=drive_link,,,,
nc0233,Rarà chei da Mieli,Maria Casanova in Barbacetto,14 agosto 66,Canto popolare carnico - Ravascletto,Canto popolare carnico - Ravascletto,Ravascletto,133.19.00,165.51.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1vzSYTyxmmMvWJTEzT2BQhsC1a89Tih4h/view?usp=drive_link,,,,
nc0234,Lodate Maria,Celesta Della Pietra,1968,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1lGP7_3CKlVWRBA1nIzxu_F37hKuTu_8y/view?usp=drive_link,,,,
nc0235,Une scriulade,Maria Morassi,,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/15ATTfqUuRw7pkudzS1otNvPj1XmZ_CMP/view?usp=drive_link,,,,
nc0236,A Santa Margarita da Cortona,Franco Dain,,Canto popolare carnico - Cercivento,Canto popolare carnico - Cercivento,Cercivento,133.53.00,176.52.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1ZglvgRWcmlY4uFUvSpN6XobAiYVNjgOX/view?usp=drive_link,,,,
nc0237,Canzone di tre res magios,,,Canto popolare carnico - Zovello,Canto popolare carnico - Zovello,Zovello,134.12.00,170.14.00,Collezione privata di Valter Colle,,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1VZMTgq16u-iR48D258x7GrgJUge1HztE/view?usp=drive_link,,,,
